col_num,subset,density_in_train,density_in_unseen,d0_mark,density_diff,unseen_centroid,dist_train_d0,data_similarity,div_index
2535,unseen,0.0805,0.292,,0.21149999999999997,,1.618442271710734,3.9698677307092933,0.33927618326130743
2536,unseen,0.0355,0.198,,0.1625,,1.7688243738488323,4.257681805512353,0.36058676675677076
2537,unseen,0.0025,0.114,,0.1115,,2.7380513564849025,5.142450509862496,0.3831428543351578
2538,unseen,0.0,0.096,yes,0.096,,3.395262444930684,5.700027208276144,0.45592388880630297
2539,unseen,0.2545,0.279,,0.024500000000000022,,1.1759100015245225,2.8763916427124667,0.33348183921737207
2540,unseen,0.1915,0.304,,0.11249999999999999,,1.0820162379447624,3.0587106972195266,0.33350169901945154
2541,unseen,0.253,0.36,,0.10699999999999998,,1.0363526889618726,3.0925573465631104,0.33366948183258377
2542,unseen,0.0735,0.252,,0.1785,,1.8289539103391377,4.034869496969468,0.3416565405748098
2543,unseen,0.174,0.227,,0.05300000000000002,,1.6438266655570644,2.9893750099816567,0.33355775061274195
2544,unseen,0.1795,0.319,,0.1395,,1.0594781707461869,3.1474363702483985,0.33394741405631423
2545,unseen,0.042,0.193,,0.151,,1.3333543445587528,3.8676596458287134,0.34362751755095666
2546,unseen,0.022,0.118,,0.096,,2.0995140209773284,4.007000960400759,0.34027141331434674
2547,unseen,0.0015,0.165,,0.1635,,2.7796305588087074,5.309518157706784,0.40481949296784026
2548,unseen,0.002,0.037,,0.034999999999999996,,2.757798570068676,4.142000875095726,0.33796234690129384
2549,unseen,0.0385,0.167,,0.1285,,2.109578077351569,4.185676786680499,0.3463464890645681
2550,unseen,0.2315,0.362,,0.13049999999999998,,0.9327837474031133,3.2691549862632225,0.3339754108257951
2551,unseen,0.048,0.308,,0.26,,1.6846618331164933,3.775671912457109,0.3384899351406472
2552,unseen,0.0645,0.199,,0.1345,,1.3448264757438753,3.592067944806019,0.34116227329380655
2553,unseen,0.152,0.4,,0.24800000000000003,,1.8151184252578756,3.3518638556572675,0.33377611324926154
2554,unseen,0.0595,0.198,,0.1385,,1.6687605164125532,3.5774162417720543,0.3348936895532941
2555,unseen,0.011,0.218,,0.207,,2.28988183464574,4.335472933324884,0.3631301845254309
2556,unseen,0.062,0.315,,0.253,,1.581241333782046,4.076867134198704,0.3406825962036234
2557,unseen,0.2175,0.386,,0.1685,,1.616008893545149,3.045599717843691,0.33349637194302606
2558,unseen,0.0005,0.24,,0.2395,,2.991102348325675,4.673192823323521,0.3774870242214533
2559,unseen,0.0285,0.241,,0.2125,,1.9341394780195578,4.2545419821552715,0.3562069940616458
2560,unseen,0.0395,0.059,,0.019499999999999997,,1.9661316983756933,3.5493952410977627,0.3338834055711066
2561,unseen,0.0245,0.223,,0.1985,,1.698177061178732,4.250338179165767,0.354389858177737
2562,unseen,0.022,0.315,,0.293,,2.2193147803605706,4.171030960586717,0.3426024831532125
2563,unseen,0.001,0.04,,0.039,,2.9083123897151464,4.4952447780723,0.35271066531912054
2564,unseen,0.065,0.315,,0.25,,2.0381909250313135,3.6721046743066927,0.3375070962981574
